location,date,total_cases,new_cases,total_deaths,new_deaths,new_cases_smoothed,new_deaths_smoothed,people_vaccinated,people_fully_vaccinated,Year,Month,Day
Pakistan,2020-02-28,2.0,2.0,0.0,0.0,0.286,0.0,0.0,0.0,2020,February,Friday
Pakistan,2020-02-29,2.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,2020,February,Saturday
Pakistan,2020-03-01,2.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,2020,March,Sunday
Pakistan,2020-03-02,4.0,2.0,0.0,0.0,0.571,0.0,0.0,0.0,2020,March,Monday
Pakistan,2020-03-03,4.0,0.0,0.0,0.0,0.571,0.0,0.0,0.0,2020,March,Tuesday
Pakistan,2020-03-04,4.0,0.0,0.0,0.0,0.571,0.0,0.0,0.0,2020,March,Wednesday
Pakistan,2020-03-05,5.0,1.0,0.0,0.0,0.714,0.0,0.0,0.0,2020,March,Thursday
Pakistan,2020-03-06,5.0,0.0,0.0,0.0,0.429,0.0,0.0,0.0,2020,March,Friday
Pakistan,2020-03-07,5.0,0.0,0.0,0.0,0.429,0.0,0.0,0.0,2020,March,Saturday
Pakistan,2020-03-08,6.0,1.0,0.0,0.0,0.571,0.0,0.0,0.0,2020,March,Sunday
Pakistan,2020-03-09,6.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,2020,March,Monday
Pakistan,2020-03-10,6.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,2020,March,Tuesday
Pakistan,2020-03-11,7.0,1.0,0.0,0.0,0.429,0.0,0.0,0.0,2020,March,Wednesday
Pakistan,2020-03-12,16.0,9.0,0.0,0.0,1.571,0.0,0.0,0.0,2020,March,Thursday
Pakistan,2020-03-13,19.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2020,March,Friday
Pakistan,2020-03-14,20.0,1.0,0.0,0.0,2.143,0.0,0.0,0.0,2020,March,Saturday
Pakistan,2020-03-15,21.0,1.0,0.0,0.0,2.143,0.0,0.0,0.0,2020,March,Sunday
Pakistan,2020-03-16,28.0,7.0,0.0,0.0,3.143,0.0,0.0,0.0,2020,March,Monday
Pakistan,2020-03-17,31.0,3.0,0.0,0.0,3.571,0.0,0.0,0.0,2020,March,Tuesday
Pakistan,2020-03-18,53.0,22.0,0.0,0.0,6.571,0.0,0.0,0.0,2020,March,Wednesday
Pakistan,2020-03-19,187.0,134.0,0.0,0.0,24.429,0.0,0.0,0.0,2020,March,Thursday
Pakistan,2020-03-20,241.0,54.0,0.0,0.0,31.714,0.0,0.0,0.0,2020,March,Friday
Pakistan,2020-03-21,302.0,61.0,2.0,2.0,40.286,0.286,0.0,0.0,2020,March,Saturday
Pakistan,2020-03-22,461.0,159.0,2.0,0.0,62.857,0.286,0.0,0.0,2020,March,Sunday
Pakistan,2020-03-23,495.0,34.0,3.0,1.0,66.714,0.429,0.0,0.0,2020,March,Monday
Pakistan,2020-03-24,646.0,151.0,3.0,0.0,87.857,0.429,0.0,0.0,2020,March,Tuesday
Pakistan,2020-03-25,784.0,138.0,5.0,2.0,104.429,0.714,0.0,0.0,2020,March,Wednesday
Pakistan,2020-03-26,887.0,103.0,6.0,1.0,100.0,0.857,0.0,0.0,2020,March,Thursday
Pakistan,2020-03-27,991.0,104.0,7.0,1.0,107.143,1.0,0.0,0.0,2020,March,Friday
Pakistan,2020-03-28,1057.0,66.0,8.0,1.0,107.857,0.857,0.0,0.0,2020,March,Saturday
Pakistan,2020-03-29,1235.0,178.0,9.0,1.0,110.571,1.0,0.0,0.0,2020,March,Sunday
Pakistan,2020-03-30,1408.0,173.0,11.0,2.0,130.429,1.143,0.0,0.0,2020,March,Monday
Pakistan,2020-03-31,1526.0,118.0,13.0,2.0,125.714,1.429,0.0,0.0,2020,March,Tuesday
Pakistan,2020-04-01,1625.0,99.0,18.0,5.0,120.143,1.857,0.0,0.0,2020,April,Wednesday
Pakistan,2020-04-02,1865.0,240.0,25.0,7.0,139.714,2.714,0.0,0.0,2020,April,Thursday
Pakistan,2020-04-03,2039.0,174.0,26.0,1.0,149.714,2.714,0.0,0.0,2020,April,Friday
Pakistan,2020-04-04,2291.0,252.0,31.0,5.0,176.286,3.286,0.0,0.0,2020,April,Saturday
Pakistan,2020-04-05,2450.0,159.0,35.0,4.0,173.571,3.714,0.0,0.0,2020,April,Sunday
Pakistan,2020-04-06,2708.0,258.0,40.0,5.0,185.714,4.143,0.0,0.0,2020,April,Monday
Pakistan,2020-04-07,3059.0,351.0,45.0,5.0,219.0,4.571,0.0,0.0,2020,April,Tuesday
Pakistan,2020-04-08,3505.0,446.0,51.0,6.0,268.571,4.714,0.0,0.0,2020,April,Wednesday
Pakistan,2020-04-09,4005.0,500.0,54.0,3.0,305.714,4.143,0.0,0.0,2020,April,Thursday
Pakistan,2020-04-10,4187.0,182.0,58.0,4.0,306.857,4.571,0.0,0.0,2020,April,Friday
Pakistan,2020-04-11,4489.0,302.0,63.0,5.0,314.0,4.571,0.0,0.0,2020,April,Saturday
Pakistan,2020-04-12,4695.0,206.0,66.0,3.0,320.714,4.429,0.0,0.0,2020,April,Sunday
Pakistan,2020-04-13,5011.0,316.0,86.0,20.0,329.0,6.571,0.0,0.0,2020,April,Monday
Pakistan,2020-04-14,5230.0,219.0,91.0,5.0,310.143,6.571,0.0,0.0,2020,April,Tuesday
Pakistan,2020-04-15,5496.0,266.0,93.0,2.0,284.429,6.0,0.0,0.0,2020,April,Wednesday
Pakistan,2020-04-16,5837.0,341.0,96.0,3.0,261.714,6.0,0.0,0.0,2020,April,Thursday
Pakistan,2020-04-17,6383.0,546.0,111.0,15.0,313.714,7.571,0.0,0.0,2020,April,Friday
Pakistan,2020-04-18,6919.0,536.0,128.0,17.0,347.143,9.286,0.0,0.0,2020,April,Saturday
Pakistan,2020-04-19,7025.0,106.0,135.0,7.0,332.857,9.857,0.0,0.0,2020,April,Sunday
Pakistan,2020-04-20,7638.0,613.0,143.0,8.0,375.286,8.143,0.0,0.0,2020,April,Monday
Pakistan,2020-04-21,8348.0,710.0,168.0,25.0,445.429,11.0,0.0,0.0,2020,April,Tuesday
Pakistan,2020-04-22,8418.0,70.0,176.0,8.0,417.429,11.857,0.0,0.0,2020,April,Wednesday
Pakistan,2020-04-23,9565.0,1147.0,201.0,25.0,532.571,15.0,0.0,0.0,2020,April,Thursday
Pakistan,2020-04-24,10076.0,511.0,212.0,11.0,527.571,14.429,0.0,0.0,2020,April,Friday
Pakistan,2020-04-25,11057.0,981.0,235.0,23.0,591.143,15.286,0.0,0.0,2020,April,Saturday
Pakistan,2020-04-26,11940.0,883.0,253.0,18.0,702.143,16.857,0.0,0.0,2020,April,Sunday
Pakistan,2020-04-27,12644.0,704.0,268.0,15.0,715.143,17.857,0.0,0.0,2020,April,Monday
Pakistan,2020-04-28,13328.0,684.0,281.0,13.0,711.429,16.143,0.0,0.0,2020,April,Tuesday
Pakistan,2020-04-29,13915.0,587.0,292.0,11.0,785.286,16.571,0.0,0.0,2020,April,Wednesday
Pakistan,2020-04-30,14612.0,697.0,312.0,20.0,721.0,15.857,0.0,0.0,2020,April,Thursday
